번호,단어,의미
1,provide,"제공하다, 공급하다, 준비하다"
2,develop,"개발하다, 발달하다, 발전시키다"
3,service,"서비스, 근무, 봉사, 공공 업무"
4,inform,"알리다, 통지하다"
5,relationship,관계
6,improve,"향상시키다, 나아지다, 향상하다"
7,individual,"개인의, 개인적인 개인"
8,require,"요구하다, 필요로 하다"
9,advise,"충고하다, 조언하다"
10,social,"사회의, 사교적인"
11,amount,"총액, 총계, 양 총계가 ~이 되다"
12,behave,행동하다
13,employ,"고용하다, 쓰다"
14,attitude,"태도, 입장"
15,research,"연구하다, 조사하다 연구, 조사"
16,audience,"청중, 관객"
17,volunteer,"지원자, 자원봉사, 자원봉사자 지원하다, 자원봉사하다"
18,influence,"영향, 영향을 미치는 것[사람] 영향을 미치다"
19,terrible,"끔직한, 형편없는, 무서운"
20,opportunity,기회
21,ability,"능력, 재능"
22,expense,"비용, 지출"
23,local,"지역의, 장소의, 지방의"
24,involve,"관련시키다, 포함하다, 관련되다"
25,stress,"스트레스, 긴장, 강조 강조하다, 압력을 주다"
26,therefore,"그러므로, 그 결과"
27,positive,"긍정적인, 낙관적인, 확신하는"
28,average,"평균의, 보통의 평균, 보통 수준 평균 ~이다"
29,ride,"타다 타기, 태우기, 타고가기"
30,encourage,"격려하다, 권장하다, 부추기다, 촉구하다"
31,determine,"결정하다, 결심하다"
32,international,"국제의, 국제적인"
33,consume,"소비하다, 먹다[마시다]"
34,impress,"감동시키다, 깊은 인상을 주다"
35,object,"물건, 물체, 목표 반대하다"
36,available,"이용할 수 있는, 쓸모있는, 시간이 있는"
37,contain,"들어있다, 포함하다, 함유하다, 억제하다"
38,recognize,"인지하다 , 인정하다, 알아보다"
39,material,"재료, 소재, 물질 물질의"
40,comfort,"편안, 평안함, 위안, 위로 편안하게 하다, 위로하다"
41,emotion,감정
42,amaze,놀라게 하다
43,reduce,"줄이다, 낮추다"
44,discover,"발견하다, 알아내다"
45,decide,"결정하다, 결심하다"
46,benefit,"이익, 혜택 도움이 되다"
47,affect,영향을 미치다
48,level,"수준, 정도, 수평 수평의"
49,chemistry,화학
50,immediate,"즉각적인, 시급한, 직접적인"
51,thus,"그러므로, 따라서"
52,proper,"적절한, 알맞은"
53,performance,"공연, 성과"
54,essence,"본질, 정수"
55,economic,"경제의, 경제학의"
56,cell,세포
57,focus,집중하다 초점
58,issue,"논란거리, 쟁점, 문제"
59,participate,"참여하다, 참가하다(in)"
60,demand,"요구, 수요 요구하다"
61,occur,"발생하다, 일어나다, (생각이) 떠오르다"
62,complex,"복잡한 복잡체, 복합 건물"
63,define,"정의하다, 한계 짓다, 한정하다, 규정하다"
64,proud,자랑스러워하는
65,aware,"인지하는, 인식하고 있는, 알고 있는"
66,contact,"연락하다 접촉, 연락"
67,profession,"직업, 직종, 전문직"
68,detail,"세부, 세부사항 상술하다"
69,approach,접근하다 접근
70,career,"직업, 경력"
71,package,"꾸러미, 포장, 포장된 짐 포장하다"
72,disappear,사라지다
73,novel,소설
74,secure,"안전한, 안정된 안전하게 하다"
75,fashion,"유행, 패션, 방식 만들어 내다"
76,despite,[전] ~에도 불구하고
77,background,"(그림, 사람, 사건)배경, 배경 지식"
78,solution,"해결, 해결책"
79,generate,"일으키다, 발생시키다"
80,eventually,결국
81,decrease,"줄다[감소하다], 줄이다 감소"
82,recycle,재활용하다
83,desire,"욕구, 욕망 바라다"
84,balance,"균형, 은행 잔고 균형을 이루다"
85,negative,부정적인
86,follow,"따라가다, (규칙을) 따르다"
87,account,"은행 계좌, 이야기, 설명 설명하다"
88,publish,"발표하다, 출판하다"
89,occasion,"경우, 특별한 일"
90,replace,대체하다
91,constant,"일정한, 불변의 (수학에서의) 상수"
92,expert,전문가
93,term,"용어, 기간, 학기"
94,relieve,"경감하다, 안도시키다"
95,describe,"묘사하다, 표현하다"
96,biology,생물학
97,due,"만기의, ~하기로 되어 있는"
98,equipment,"장치, 장비"
99,congratulate,축하하다
100,birth,탄생
101,compose,"구성하다, 작곡하다, 작문하다"
102,genius,"천재, 천재성"
103,reflect,"반영하다, 반사하다, 숙고하다"
104,cause,"~의 원인이 되다, 야기하다 원인"
105,frequent,"빈번한 (장소,모임에) 자주 가다"
106,factor,"요인, 요소"
107,extreme,극단의 극단
108,tend,"~하는 경향이 있다, 돌보다"
109,politics,"정치, 정치학"
110,insist,주장하다
111,extend,"연장하다, 넓히다"
112,lonely,외로운
113,habitat,"서식지, 주거지"
114,mental,정신의
115,steady,"안정된, 한결같은, 꾸준한"
116,exchange,교환하다
117,active,"활동적인, 적극적인"
118,species,(생물분류상의) 종
119,athletic,"운동의, 운동경기의"
120,dental,치아의
121,delight,기쁨 기쁘게 하다
122,confident,자신 있는
123,gradually,"점차, 서서히"
124,shadow,그림자 그늘지게 하다
125,access,"접근, 이용 접근하다"
126,announce,"발표하다, 알리다"
127,allow,"허락하다, 인정하다"
128,firm,"확고한, 단단한 회사"
129,vary,"바꾸다, 변하다, 다르다"
130,injure,"상처를 입히다, 손상시키다"
131,permit,허용[허락]하다
132,response,"응답, 반응"
133,threat,"위협, 협박"
134,electricity,전기
135,disabled,"장애를 가진, 무능력하게 된"
136,lack,부족 ~이 부족하다
137,signify,"의미하다, 중요하다"
138,concentrate,집중하다
139,emphasize,강조하다
140,astronomy,천문학
141,flood,홍수 범람시키다
142,fuel,연료 연료를 가하다
143,manufacture,"제조하다 제조(업), 제품"
144,movement,"움직임, 운동"
145,capable,"~을 할 수 있는, 유능한"
146,combine,"결합하다, 겸비하다"
147,gene,유전자
148,increase,"(수량이) 증가하다 증가, 이자"
149,victim,"희생, 피해자"
150,pressure,"압력, 압박 압력을 가하다"
151,accompany,"동반[동행]하다, 수반하다"
152,frustrate,좌절시키다
153,construct,건설하다
154,dwindle,"점점 줄어들다, 저하되다"
155,commerce,"상업, 교역"
156,entertain,즐겁게 하다
157,predict,"예언하다, 예측하다"
158,apologize,사과하다
159,sight,"시야, 광경, 시력"
160,quantity,양
161,conclude,"결론짓다, 끝내다"
162,donate,기부하다
163,personality,"개성, 성격, 특색"
164,struggle,"싸우다, 노력하다 투쟁, 노력"
165,advantage,"유리한 점, 이점"
166,variety,"다양, 다양성"
167,enable,가능하게 하다
168,instruction,"지시, 제품 사용 설명서, 가르침"
169,assume,"추정하다, (태도 등을) 취하다"
170,attempt,시도하다 시도
171,incredible,"믿을 수 없는, (믿기 어려울 만큼) 굉장한"
172,feature,"특징, 특집 기사, 얼굴 생김새 ~을 특징으로 하다, 주연하다"
173,confuse,"혼동하다, 혼란시키다"
174,electronic,전자의
175,absorb,"흡수하다, (사람, 마음을) 열중시키다"
176,indicate,"가리키다, 나타내다"
177,analyze,분석하다
178,stock,"재고품, 저장, 가축 저장하다, (물품을) 들여놓다"
179,resident,거주자
180,labor,"노동, 산고 노동하다"
181,remark,"의견, 주목 의견을 말하다, ~에 주목하다"
182,moral,도덕적인
183,embarrassed,당황한
184,claim,"주장하다 요구, 주장"
185,reasonable,"논리적인, 분별력 있는"
186,interrupt,"방해하다, 중단하다"
187,discount,할인 할인하다
188,creature,"생물, 피조물"
189,heal,"치료하다, 낫게 하다"
190,establish,"설립하다, 확립하다, 제정하다"
191,revolution,"혁명, 갑작스러운 변화, 회전"
192,criticize,비난하다
193,convince,"확신시키다, 납득시키다"
194,efficient,"효율적인, 유능한"
195,stranger,"낯선 사람, 문외한"
196,tide,"조수, 흐름"
197,obtain,"획득하다, 통용되다, 행해지다"
198,assist,도움을 주다
199,disaster,"재앙, 재난, 재해"
200,terrific,"굉장한, 훌륭한"
201,specific,"구체적인, 특정한"
202,react,"반응하다, 반작용하다"
203,independent,독립적인
204,theory,이론
205,qualify,자격을 얻다
206,consider,"숙고하다, 고려하다"
207,recall,"상기하다, 철회하다, 회수하다; 상기, 철회"
208,risk,위험; 위험을 감수하다
209,treatment,"취급, 대우, 치료(법)"
210,engage,"관여하다, 약속하다, 약혼하다"
211,motivate,동기를 부여하다
212,clue,"실마리, 단서"
213,cancer,"암, 악성 종양"
214,elder,나이가 위인; 연장자
215,depress,"우울하게 하다, 의기소침(낙담)하게 하다"
216,fascinate,"매료시키다, 마음을 빼앗다"
217,violent,"난폭한, 폭력적인"
218,alarm,"놀람, 경보"
219,edge,"가장자리, 날카로움, 우위"
220,deserve,~을 받을 만하다(가치가 있다)
221,route,"길, 통로, 항로"
222,psychology,"심리, 심리학"
223,passion,열정
224,import,"수입하다, 의미하다; 수입"
225,purchase,구매하다; 구매
226,conscience,양심
227,pose,"자세를 취하다, (문제를) 제기하다; 자세"
228,length,길이
229,severe,"심한, 엄격한"
230,decade,"10년, 10년간"
231,occupy,"(시간, 장소를) 차지하다, 전념하다"
232,acquire,습득하다
233,interact,상호 작용하다
234,brief,간단한; 간단한 보고; 간단히 알리다
235,observe,"관찰하다, ~을 보다, 준수하다"
236,poetry,"시, 운문"
237,salary,"급료, 봉급"
238,grain,"곡물, 낟알"
239,meaningful,"의미 있는, 의미심장한"
240,weed,잡초; 잡초를 제거하다
241,survival,생존
242,comment,"논평, 주석 논평하다"
243,leap,"뛰다, 도약하다 도약"
244,survey,"둘러보다, 조사하다 설문 조사"
245,typical,"전형적인, 대표적인"
246,mere,단지 ~에 불과한
247,mechanic,기계공
248,mood,"분위기, 기분"
249,approve,"승인하다, 찬성하다"
250,rural,시골의
251,finance,"재정, 자금 자금을 조달하다"
252,seek,"찾다, 추구하다"
253,operation,"작업, 운영, 수술"
254,crime,범죄
255,awful,"끔찍한, 지독한"
256,series,"연속, 시리즈물"
257,exhausted,"고갈된, 기진맥진한"
258,absolute,"완전한, 절대적인"
259,surround,둘러싸다
260,display,"전시하다, 나타내다 전시"
261,policy,"정책, 수단"
262,mass,"덩어리, 집단"
263,committee,위원회
264,accurate,정확한
265,arrange,"정리하다, 준비하다"
266,facility,"시설, 편의"
267,consult,"상담하다, 참고하다"
268,refer,"언급하다, 위탁하다"
269,attach,"붙이다, 첨부하다"
270,recover,"회복하다, 되찾다"
271,reward,보상 보답하다
272,enormous,"엄청난, 거대한"
273,domestic,"국내의, 가정의"
274,wealth,"부, 재산"
275,elementary,"초보의, 기초적인"
276,gap,"격차, 틈"
277,except,[전] ~을 제외하고 제외하다
278,journey,여행
279,plain,"평범한, 명백한"
280,downtown,도심 도심의 도심지에서
281,previous,"이전의, 앞의"
282,produce,"생산하다, 제조하다"
283,remain,"여전히 ~이다, 남다"
284,break,"깨다, 고장내다"
285,slight,"약간의, 경미한"
286,include,포함하다
287,delay,"연기하다, 미루다 지연"
288,file,"서류철 파일에 철하다, 제기하다"
289,ethic,윤리
290,instant,"즉각의, 즉석의 순간"
291,reveal,"폭로하다, 드러내다"
292,breed,"낳다, 양육하다"
